------------------------------2022-04-05 21:55:09------------------------------
model:ResNet50
dataset_name:UAV_0323
num_classes:3
batch_size:64
num_worker:16
process_IQ:True
num_epoch:10
learning_rate:0.001
signal_len:50176, 8
iter_smooth:1
checkpoint_name:1.ResNet50_UAV_0323.pth
Epoch [1/10], Iter [1/2673], lr: 0.001000, Loss: 0.0891, top1: 96.8750
Epoch [1/10], Iter [2/2673], lr: 0.001000, Loss: 0.1613, top1: 90.6250
Epoch [1/10], Iter [3/2673], lr: 0.001000, Loss: 0.1290, top1: 90.6250
Epoch [1/10], Iter [4/2673], lr: 0.001000, Loss: 0.1546, top1: 92.1875
Epoch [1/10], Iter [5/2673], lr: 0.001000, Loss: 0.2994, top1: 87.5000
Epoch [1/10], Iter [6/2673], lr: 0.001000, Loss: 0.0887, top1: 98.4375
Epoch [1/10], Iter [7/2673], lr: 0.001000, Loss: 0.1514, top1: 90.6250
Epoch [1/10], Iter [8/2673], lr: 0.001000, Loss: 0.1233, top1: 95.3125
Epoch [1/10], Iter [9/2673], lr: 0.001000, Loss: 0.1880, top1: 92.1875
Epoch [1/10], Iter [10/2673], lr: 0.001000, Loss: 0.1891, top1: 93.7500
Epoch [1/10], Iter [11/2673], lr: 0.001000, Loss: 0.1146, top1: 93.7500
Epoch [1/10], Iter [12/2673], lr: 0.001000, Loss: 0.0804, top1: 98.4375
Epoch [1/10], Iter [13/2673], lr: 0.001000, Loss: 0.2158, top1: 90.6250
Epoch [1/10], Iter [14/2673], lr: 0.001000, Loss: 0.2770, top1: 89.0625
Epoch [1/10], Iter [15/2673], lr: 0.001000, Loss: 0.1163, top1: 96.8750
Epoch [1/10], Iter [16/2673], lr: 0.001000, Loss: 0.1714, top1: 90.6250
Epoch [1/10], Iter [17/2673], lr: 0.001000, Loss: 0.1307, top1: 93.7500
Epoch [1/10], Iter [18/2673], lr: 0.001000, Loss: 0.2552, top1: 92.1875
Epoch [1/10], Iter [19/2673], lr: 0.001000, Loss: 0.1420, top1: 93.7500
Epoch [1/10], Iter [20/2673], lr: 0.001000, Loss: 0.1068, top1: 96.8750
Epoch [1/10], Iter [21/2673], lr: 0.001000, Loss: 0.1516, top1: 93.7500
Epoch [1/10], Iter [22/2673], lr: 0.001000, Loss: 0.2181, top1: 93.7500
Epoch [1/10], Iter [23/2673], lr: 0.001000, Loss: 0.1045, top1: 98.4375
Epoch [1/10], Iter [24/2673], lr: 0.001000, Loss: 0.2387, top1: 87.5000
Epoch [1/10], Iter [25/2673], lr: 0.001000, Loss: 0.0813, top1: 96.8750
Epoch [1/10], Iter [26/2673], lr: 0.001000, Loss: 0.1251, top1: 98.4375
Epoch [1/10], Iter [27/2673], lr: 0.001000, Loss: 0.1140, top1: 95.3125
Epoch [1/10], Iter [28/2673], lr: 0.001000, Loss: 0.1043, top1: 98.4375
Epoch [1/10], Iter [29/2673], lr: 0.001000, Loss: 0.1064, top1: 98.4375
