------------------------------2022-04-21 00:23:45------------------------------
model:ResNet_50_SE
dataset_name:UAV_0323
num_classes:3
batch_size:16
num_worker:4
process_IQ:True
num_epoch:10
learning_rate:0.001
signal_len:50176, 8
iter_smooth:1
checkpoint_name:50%trainUAV_0323_50%test—UAV_0324_acc:ResNet_50_SE.pth
Epoch [1/10], Iter [1/10692], lr: 0.001000, Loss: 1.1638, top1: 12.5000
Epoch [1/10], Iter [2/10692], lr: 0.001000, Loss: 1.1934, top1: 18.7500
Epoch [1/10], Iter [3/10692], lr: 0.001000, Loss: 1.1720, top1: 25.0000
Epoch [1/10], Iter [4/10692], lr: 0.001000, Loss: 1.1013, top1: 31.2500
Epoch [1/10], Iter [5/10692], lr: 0.001000, Loss: 1.1015, top1: 37.5000
Epoch [1/10], Iter [6/10692], lr: 0.001000, Loss: 1.1836, top1: 37.5000
Epoch [1/10], Iter [7/10692], lr: 0.001000, Loss: 1.0890, top1: 43.7500
Epoch [1/10], Iter [8/10692], lr: 0.001000, Loss: 0.8967, top1: 62.5000
Epoch [1/10], Iter [9/10692], lr: 0.001000, Loss: 0.7869, top1: 81.2500
Epoch [1/10], Iter [10/10692], lr: 0.001000, Loss: 1.2286, top1: 31.2500
Epoch [1/10], Iter [11/10692], lr: 0.001000, Loss: 1.0711, top1: 50.0000
Epoch [1/10], Iter [12/10692], lr: 0.001000, Loss: 1.0920, top1: 43.7500
Epoch [1/10], Iter [13/10692], lr: 0.001000, Loss: 1.0456, top1: 43.7500
Epoch [1/10], Iter [14/10692], lr: 0.001000, Loss: 1.3571, top1: 12.5000
Epoch [1/10], Iter [15/10692], lr: 0.001000, Loss: 1.2983, top1: 25.0000
Epoch [1/10], Iter [16/10692], lr: 0.001000, Loss: 1.0786, top1: 43.7500
Epoch [1/10], Iter [17/10692], lr: 0.001000, Loss: 1.0759, top1: 43.7500
Epoch [1/10], Iter [18/10692], lr: 0.001000, Loss: 1.0069, top1: 50.0000
Epoch [1/10], Iter [19/10692], lr: 0.001000, Loss: 1.0101, top1: 37.5000
Epoch [1/10], Iter [20/10692], lr: 0.001000, Loss: 1.2517, top1: 31.2500
Epoch [1/10], Iter [21/10692], lr: 0.001000, Loss: 0.9438, top1: 56.2500
Epoch [1/10], Iter [22/10692], lr: 0.001000, Loss: 1.2415, top1: 25.0000
Epoch [1/10], Iter [23/10692], lr: 0.001000, Loss: 1.1661, top1: 37.5000
Epoch [1/10], Iter [24/10692], lr: 0.001000, Loss: 1.1299, top1: 43.7500
Epoch [1/10], Iter [25/10692], lr: 0.001000, Loss: 1.0182, top1: 56.2500
Epoch [1/10], Iter [26/10692], lr: 0.001000, Loss: 0.9818, top1: 50.0000
Epoch [1/10], Iter [27/10692], lr: 0.001000, Loss: 1.1888, top1: 18.7500
Epoch [1/10], Iter [28/10692], lr: 0.001000, Loss: 1.0219, top1: 50.0000
Epoch [1/10], Iter [29/10692], lr: 0.001000, Loss: 0.9545, top1: 56.2500
Epoch [1/10], Iter [30/10692], lr: 0.001000, Loss: 1.1300, top1: 43.7500
Epoch [1/10], Iter [31/10692], lr: 0.001000, Loss: 1.1847, top1: 31.2500
